File,Category,InternalLinks,LinkStatus,GraceWarning,ArticleBody,PageHero,Enhancement_Priority
analogy-adoption.html,Analogy,5,NEEDS_LINKS,✓,✓,✓,MEDIUM
analogy-chess-grandmaster.html,Analogy,13,MEETING_STANDARD,✓,✓,✓,NONE
analogy-doctor-corpse.html,Analogy,4,NEEDS_LINKS,✓,✓,✓,MEDIUM
analogy-drowning-man.html,Analogy,3,CRITICAL,✓,✓,✓,HIGH
analogy-lazarus-grave.html,Analogy,0,CRITICAL,✓,✓,✓,URGENT
analogy-light-switch.html,Analogy,8,MEETING_STANDARD,✓,✓,✓,NONE
analogy-orchestra.html,Analogy,0,CRITICAL,✓,✓,✓,URGENT
analogy-river.html,Analogy,0,CRITICAL,✓,✓,✓,URGENT
analogy-song-you-didnt-compose.html,Analogy,10,MEETING_STANDARD,✓,✓,✓,NONE
psychology-addiction-proof.html,Psychology,0,CRITICAL,✓,✓,✓,URGENT
psychology-anosognosia-of-sin.html,Psychology,11,MEETING_STANDARD,✓,✓,✓,NONE
psychology-attribution-error.html,Psychology,0,CRITICAL,✓,✓,✓,URGENT
psychology-autonomy-illusion.html,Psychology,0,CRITICAL,✓,✓,✓,URGENT
psychology-backfire-effect.html,Psychology,0,CRITICAL,✓,✓,✓,URGENT
psychology-cognitive-biases.html,Psychology,0,CRITICAL,✓,✓,✓,URGENT
psychology-comfort-self-salvation.html,Psychology,0,CRITICAL,✓,✓,✓,URGENT
psychology-cost-of-rejecting-grace.html,Psychology,3,CRITICAL,✓,✓,✓,HIGH
psychology-emotional-vs-rational.html,Psychology,0,CRITICAL,✓,✓,✓,URGENT
psychology-fear-control.html,Psychology,0,CRITICAL,✓,✓,✓,URGENT
psychology-groupthink.html,Psychology,0,CRITICAL,✓,✓,✓,URGENT
psychology-hostility-reaction.html,Psychology,0,CRITICAL,✓,✓,✓,URGENT
psychology-identity-threat.html,Psychology,0,CRITICAL,✓,✓,✓,URGENT
psychology-illusion-free-will.html,Psychology,0,CRITICAL,✓,✓,✓,URGENT
psychology-language-acquisition.html,Psychology,13,MEETING_STANDARD,✓,✓,✓,NONE
psychology-offense-of-grace.html,Psychology,0,CRITICAL,✓,✓,✓,URGENT
psychology-pride-root-objection.html,Psychology,3,CRITICAL,✓,✓,✓,HIGH
psychology-reactance-theory.html,Psychology,0,CRITICAL,✓,✓,✓,URGENT
psychology-sincerity-trap.html,Psychology,2,CRITICAL,✓,✓,✓,HIGH
psychology-stockholm-syndrome-sin.html,Psychology,0,CRITICAL,✓,✓,✓,URGENT
psychology-sunk-cost-faith.html,Psychology,0,CRITICAL,✓,✓,✓,URGENT
psychology-suppressing-truth.html,Psychology,0,CRITICAL,✓,✓,✓,URGENT
psychology-system-justification.html,Psychology,0,CRITICAL,✓,✓,✓,URGENT
psychology-terror-management.html,Psychology,0,CRITICAL,✓,✓,✓,URGENT
psychology-why-this-objection-proves-our-point.html,Psychology,2,CRITICAL,✓,✓,✓,HIGH
psychology-why-we-resist.html,Psychology,5,NEEDS_LINKS,✓,✓,✓,MEDIUM
resistance-last-idol.html,Resistance,9,MEETING_STANDARD,✓,✗,✓,STRUCTURAL_FIX
resistance-redefining-grace.html,Resistance,0,CRITICAL,✓,✓,✓,URGENT
secular-ai-determinism.html,Secular,6,NEEDS_LINKS,✓,✓,✓,MEDIUM
secular-algorithm-sovereignty.html,Secular,6,NEEDS_LINKS,✓,✓,✓,MEDIUM
secular-art-literature-reformed-truth.html,Secular,0,CRITICAL,✓,✓,✓,URGENT
secular-billion-decisions.html,Secular,6,NEEDS_LINKS,✓,✓,✓,MEDIUM
secular-economics-depravity.html,Secular,0,CRITICAL,✓,✓,✓,URGENT
secular-evidence.html,Secular (Hub),0,CRITICAL,✓,✗,✗,STRUCTURAL_FIX
secular-genetics-sovereignty.html,Secular,0,CRITICAL,✓,✓,✗,HIGH
secular-hard-problem-consciousness.html,Secular,0,CRITICAL,✓,✓,✓,URGENT
secular-history-sovereignty.html,Secular,0,CRITICAL,✓,✓,✓,URGENT
secular-neuroscience-human-inability.html,Secular,0,CRITICAL,✓,✓,✓,URGENT
secular-philosophy-free-will.html,Secular,6,NEEDS_LINKS,✓,✓,✓,MEDIUM
secular-psychology-bondage-of-will.html,Secular,6,NEEDS_LINKS,✓,✓,✓,MEDIUM
secular-sociology-human-inability.html,Secular,29,MEETING_STANDARD,✓,✓,✓,NONE
