CONTENT SURGEON AUDIT — 2026-04-11
Target: ~1,500 words max per article (~10 min read)

Word Count	Read Time	File
9469	48min	connections.html
8288	42min	objection-why-command.html
7960	40min	compare-calvinism-arminianism.html
7801	40min	creed-canons-dort.html
6905	35min	systematic-hamartiology.html
6900	35min	systematic-ordo-salutis.html
6765	34min	systematic-christology.html
6573	33min	question-irresistible.html
6403	33min	demolition-steel-man-arminianism.html
6337	32min	ot-jacob-esau.html
6067	31min	demolition-john3-16.html
5934	30min	secular-sociology-human-inability.html
5903	30min	question-1peter1.html
5736	29min	question-depravity.html
5623	29min	history-dort.html
5594	28min	systematic-covenant-theology.html
5434	28min	systematic-divine-decrees.html
5402	28min	question-perseverance.html
5318	27min	systematic-compatibilism.html
5304	27min	systematic-pneumatology.html
5185	26min	systematic-anthropology.html
5106	26min	question-psalm139.html
5000	25min	objection-manipulation.html
4971	25min	ot-jonah.html
4886	25min	systematic-ecclesiology.html
4870	25min	objection-faith-choice.html
4837	25min	ot-moses-pharaoh.html
4771	24min	secular-philosophy-free-will.html
4731	24min	systematic-theology-proper.html
4686	24min	ot-abraham.html
4581	23min	theologian-augustine.html
4543	23min	resistance-last-idol.html
4525	23min	systematic-justification.html
4509	23min	question-isaiah53.html
4503	23min	history-great-awakening.html
4459	23min	history-spurgeon-downgrade.html
4455	23min	history-augustine-pelagius.html
4406	23min	question-acts4.html
4311	22min	theologian-luther.html
4302	22min	ot-david.html
4295	22min	demolition-ezekiel18-23.html
4290	22min	objection-desire.html
4267	22min	psychology-comfort-self-salvation.html
4202	22min	pastoral-when-truth-lands.html
4164	21min	question-faithgift.html
4143	21min	question-2tim1-9.html
4099	21min	demolition-1john2-2.html
4085	21min	apologetic-babies.html
4082	21min	ot-jeremiah.html
4062	21min	question-repentance-total-depravity.html
4034	21min	systematic-prolegomena.html
3969	20min	demolition-prevenient-grace.html
3949	20min	ot-israel-chosen.html
3921	20min	theologian-gottschalk.html
3882	20min	counter-cs-lewis-free-will.html
3875	20min	ot-joseph.html
3867	20min	question-sealed.html
3852	20min	question-proverbs-sovereignty.html
3851	20min	objection-author-of-sin.html
3829	20min	analogy-doctor-corpse.html
3824	20min	demolition-1cor15-22.html
3799	19min	psychology-autonomy-illusion.html
3798	19min	question-revelation13.html
3790	19min	systematic-tulip.html
3700	19min	question-romans9.html
3698	19min	ot-abel-cain.html
3677	19min	question-titus3.html
3670	19min	pastoral-assurance.html
3668	19min	romans-9-1-24.html
3656	19min	ot-noah.html
3630	19min	history-decision-theology.html
3627	19min	question-1john5-1.html
3607	19min	secular-recovery-total-depravity.html
3602	19min	devotional-dead-who-live.html
3581	18min	compare-calvinism-catholic-soteriology.html
3559	18min	secular-psychology-bondage-of-will.html
3557	18min	history-heresy-free-will.html
3541	18min	psychology-cost-of-rejecting-grace.html
3535	18min	objection-why-not-save-everyone.html
3527	18min	question-parables.html
3524	18min	question-boasting.html
3514	18min	ot-job.html
3510	18min	objection-love.html
3498	18min	question-was-christ-a-robot.html
3487	18min	systematic-soteriology.html
3464	18min	compare-calvinism-open-theism.html
3462	18min	scripture-tsunami-faith-as-gift.html
3461	18min	devotional-forever-loved.html
3442	18min	question-every-conversion-acts.html
3434	18min	question-matt11.html
3432	18min	demolition-acts7-51.html
3427	18min	question-predestined-to-hell.html
3401	18min	theologian-boston.html
3400	17min	objection-robots.html
3386	17min	demolition-joshua24-15.html
3386	17min	history-heresy-foreknowledge.html
3380	17min	objection-responsibility.html
3365	17min	compare-every-decision-point.html
3333	17min	demolition-orthodox-predestination.html
3318	17min	creed-heidelberg-catechism.html
3312	17min	psychology-attribution-error.html
3289	17min	question-john15.html
3285	17min	devotional-rescued-without-a-say.html
3278	17min	devotional-i-cant-feel-god.html
3272	17min	secular-art-literature-reformed-truth.html
3266	17min	history-council-of-orange.html
3251	17min	compare-grace-reformed-vs-arminian.html
3233	17min	joy-no-other-theology.html
3229	17min	objection-effort.html
3217	17min	demolition-faith-is-not-a-gift.html
3190	16min	question-are-arminians-saved.html
3189	16min	analogy-lazarus-grave.html
3187	16min	question-chosen.html
3181	16min	question-unfair.html
3171	16min	broken-mirror-grace-too-good.html
3127	16min	theologian-calvin.html
3109	16min	theologian-edwards.html
3104	16min	psychology-pride-root-objection.html
3085	16min	demolition-cut-off-from-root.html
3082	16min	psychology-illusion-free-will.html
3081	16min	devotional-the-secretly-ashamed.html
3077	16min	systematic-atonement.html
3072	16min	ot-prophets-remnant.html
3070	16min	romans-8-28-39.html
3067	16min	analogy-song-you-didnt-compose.html
3059	16min	shattered-lens-taught-wrong.html
3049	16min	pastoral-evangelism.html
3046	16min	story-the-dead-city.html
3040	16min	story-real-conversions.html
3036	16min	joy-staggering-contrast.html
3023	16min	broken-mirror-performance-treadmill.html
3019	16min	question-book-of-life.html
3018	16min	history-puritans.html
3008	16min	demolition-matthew-23-37.html
3004	16min	objection-babies.html
2988	15min	question-freewill.html
2981	15min	history-open-theism.html
2974	15min	story-historical-luther-storm.html
2934	15min	ot-isaiah-servant.html
2882	15min	story-dark-the-altar-he-built-himself.html
2880	15min	story-thought-the-day-you-chose-again.html
2869	15min	history-golden-thread.html
2865	15min	question-bible-says-sick.html
2844	15min	story-dark-the-woman-who-earned-her-seat.html
2836	15min	demolition-children-of-satan.html
2828	15min	question-john10.html
2819	15min	objection-fairness.html
2815	15min	philosophy-children-argument.html
2786	14min	question-foreknowledge.html
2784	14min	psychology-anosognosia-of-sin.html
2762	14min	question-john6.html
2753	14min	question-godwants.html
2751	14min	broken-mirror-sin-you-repeat.html
2744	14min	compare-predestination-foreknowledge.html
2742	14min	history-whitefield-wesley.html
2711	14min	objection-evangelism-pointless.html
2691	14min	demolition-rev3-20.html
2691	14min	psychology-suppressing-truth.html
2677	14min	systematic-regeneration.html
2672	14min	hymn-amazing-grace.html
2665	14min	pastoral-suffering.html
2663	14min	psychology-system-justification.html
2661	14min	story-tender-the-gardener-who-waited.html
2651	14min	history-every-revival-sovereign-grace.html
2649	14min	joy-freedom-of-smallness.html
2649	14min	question-acts.html
2648	14min	start-here-phase2.html
2639	14min	story-the-orphanage.html
2637	14min	open-wound-terminal-diagnosis.html
2635	14min	history-today.html
2604	14min	invisible-wall-family.html
2599	13min	question-whosoever.html
2598	13min	history-dort-deep.html
2582	13min	for-pastors.html
2573	13min	history-20th-century.html
2573	13min	secular-billion-decisions.html
2569	13min	joy-in-suffering.html
2568	13min	history-confessions-story.html
2563	13min	demolition-1tim2-4.html
2562	13min	anxious-mind-what-if-not-chosen.html
2560	13min	history-african-fathers.html
2558	13min	secular-algorithm-sovereignty.html
2554	13min	devotional-i-dont-think-im-saved.html
2551	13min	psychology-fear-control.html
2519	13min	demolition-arminian-facts.html
2517	13min	demolition-hebrews6-4-6.html
2511	13min	shattered-lens-bible-doesnt-make-sense.html
2508	13min	demolition-acts17-30.html
2501	13min	anxious-mind-never-meant-to-carry.html
2497	13min	shattered-lens-silence-of-god.html
2495	13min	invisible-wall-singing-alone.html
2491	13min	analogy-light-switch.html
2475	13min	demolition-philippians2-12-13.html
2469	13min	apologetic-evangelism.html
2466	13min	question-is-salvation-my-choice-or-gods.html
2461	13min	open-wound-empty-nursery.html
2458	13min	psychology-hostility-reaction.html
2456	13min	question-secure.html
2450	13min	philosophy-infinite-regress-of-choice.html
2449	13min	systematic-election.html
2443	13min	anxious-mind-intrusive-thoughts.html
2440	13min	secular-economics-depravity.html
2415	13min	scripture-tsunami-sovereignty.html
2410	13min	invisible-wall-prayer-feels-empty.html
2398	12min	invisible-wall-marriage.html
2395	12min	question-why-does-god-choose-some-not-others.html
2388	12min	invisible-wall-friend-who-left.html
2384	12min	objection-why-believe.html
2384	12min	psychology-language-you-already-speak.html
2382	12min	joy-worship-without-ceiling.html
2361	12min	story-children-the-king-who-chose.html
2358	12min	question-free-will-bible-verses.html
2356	12min	philosophy-godel-incompleteness.html
2350	12min	joy-security-changes-everything.html
2336	12min	question-sovereignty-logic.html
2334	12min	question-whose-side-are-you-on.html
2326	12min	freedom.html
2324	12min	devotional-joy-of-election.html
2319	12min	philosophy-mother-tongue.html
2317	12min	resistance-redefining-grace.html
2316	12min	question-goldchain.html
2314	12min	pastoral-prayer.html
2309	12min	apologetic-definite-atonement.html
2306	12min	anxious-mind-scrupulosity.html
2305	12min	secular-genetics-sovereignty.html
